,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,geometry
170440,318847435,122,STATEN ISLAND,2018-04-29,14:15:00,09/29/2020,14:15:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO STATEN ISLAND,175,"SEXUAL ABUSE 3,2",RESIDENCE-HOUSE,04/29/2021,,<18,UNKNOWN,M,,<18,WHITE HISPANIC,F,954943,148360,40.573849649000074,-74.10549615599997,"(40.573849649000074, -74.10549615599997)",POINT (-74.10549615599997 40.573849649000074),
171240,964083905,67,BROOKLYN,2018-07-04,00:30:00,07/04/2018,04:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BKLYN SOUTH,157,RAPE 1,RESIDENCE-HOUSE,05/03/2021,,25-44,BLACK,M,,25-44,BLACK,F,998032,175598,40.648650085000035,-73.95033556299995,"(40.648650085000035, -73.95033556299995)",POINT (-73.95033556299995 40.648650085000035),
174242,759136218,23,MANHATTAN,2018-04-26,17:13:00,07/14/2020,20:15:00,COMPLETED,,676,2,N.Y. HOUSING POLICE,117,FELONY,INSIDE,DANGEROUS DRUGS,,PATROL BORO MAN NORTH,521,"CONTROLLED SUBSTANCE, SALE 5",RESIDENCE - PUBLIC HOUSING,05/03/2021,,25-44,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,E,1000866,226632,40.788721243000055,-73.93999677399995,"(40.788721243000055, -73.93999677399995)",POINT (-73.93999677399995 40.788721243000055),
175681,815841988,83,BROOKLYN,2018-12-01,08:00:00,04/30/2021,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BKLYN NORTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,04/30/2021,,,,,,65+,WHITE HISPANIC,M,1009950,192049,40.69377781500003,-73.90732424299993,"(40.69377781500003, -73.90732424299993)",POINT (-73.90732424299993 40.69377781500003),
177077,902677846,50,BRONX,2018-12-01,23:00:00,12/31/2018,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BRONX,168,SODOMY 1,RESIDENCE-HOUSE,04/27/2021,,45-64,BLACK,M,,<18,BLACK,F,1011257,261130,40.883382579000056,-73.90233330899997,"(40.883382579000056, -73.90233330899997)",POINT (-73.90233330899997 40.883382579000056),
177823,458463464,48,BRONX,2018-11-18,08:00:00,11/18/2018,08:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO BRONX,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE-HOUSE,04/27/2021,,,,,,65+,BLACK,F,1012924,250164,40.85327900700002,-73.89635169699994,"(40.85327900700002, -73.89635169699994)",POINT (-73.89635169699994 40.85327900700002),
177902,243335630,19,MANHATTAN,2018-09-26,00:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,04/23/2021,,25-44,UNKNOWN,M,,25-44,UNKNOWN,F,994276,218779,40.76717676000004,-73.96380668299997,"(40.76717676000004, -73.96380668299997)",POINT (-73.96380668299997 40.76717676000004),
181726,559677821,61,BROOKLYN,2018-05-28,14:00:00,05/28/2018,14:10:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN SOUTH,101,ASSAULT 3,RESIDENCE - APT. HOUSE,04/27/2021,,65+,WHITE HISPANIC,M,,45-64,WHITE HISPANIC,F,1000080,160148,40.606239663000046,-73.94299146599997,"(40.606239663000046, -73.94299146599997)",POINT (-73.94299146599997 40.606239663000046),
184493,762711707,10,MANHATTAN,2018-03-16,09:35:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO MAN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",PUBLIC BUILDING,04/19/2021,,25-44,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,E,983249,215660,40.758621533000046,-74.00361468599993,"(40.758621533000046, -74.00361468599993)",POINT (-74.00361468599993 40.758621533000046),
184678,328408036,102,QUEENS,2018-04-01,17:00:00,03/21/2021,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,04/23/2021,,UNKNOWN,WHITE HISPANIC,M,,25-44,WHITE HISPANIC,F,1024246,191984,40.69354634500007,-73.85577165899997,"(40.69354634500007, -73.85577165899997)",POINT (-73.85577165899997 40.69354634500007),
185463,108253508,13,MANHATTAN,2018-08-01,09:00:00,04/27/2021,22:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN SOUTH,338,"LARCENY,PETIT FROM BUILDING,UN",DOCTOR/DENTIST OFFICE,04/27/2021,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,987947,208833,40.739882419000025,-73.98666041099993,"(40.739882419000025, -73.98666041099993)",POINT (-73.98666041099993 40.739882419000025),
185822,618762258,104,QUEENS,2018-07-31,07:00:00,01/11/2020,07:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO QUEENS NORTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,04/23/2021,,UNKNOWN,UNKNOWN,M,,45-64,UNKNOWN,M,1014378,206231,40.732690035000076,-73.891292907,"(40.732690035000076, -73.891292907)",POINT (-73.891292907 40.732690035000076),
185976,958262883,72,BROOKLYN,2018-09-04,00:01:00,11/30/2019,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,168,SODOMY 1,RESIDENCE - APT. HOUSE,04/26/2021,,25-44,WHITE HISPANIC,M,,<18,UNKNOWN,F,983964,179071,40.65819343200008,-74.00103224299994,"(40.65819343200008, -74.00103224299994)",POINT (-74.00103224299994 40.65819343200008),
